,Borough,Neighborhood,Latitude,Longitude,Population
0,Bronx,Wakefield,40.89470517661,-73.84720052054902,29158
1,Bronx,Co-op City,40.87429419303012,-73.82993910812398,43752
2,Bronx,Fieldston,40.89543742690383,-73.90564259591682,3292
3,Bronx,Riverdale,40.890834493891305,-73.9125854610857,48049
4,Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,10669
5,Bronx,Woodlawn,40.89827261213805,-73.86731496814176,42483
6,Bronx,Norwood,40.87722415599446,-73.8793907395681,40494
7,Bronx,Williamsbridge,40.88103887819211,-73.85744642974207,61321
8,Bronx,Baychester,40.866858107252696,-73.83579759808117,63345
9,Bronx,Pelham Parkway,40.85741349808865,-73.85475564017999,30073
10,Bronx,Bedford Park,40.870185164975325,-73.8855121841913,37344
11,Bronx,University Heights,40.85572707719664,-73.9104159619131,25702
12,Bronx,Morris Heights,40.84789792606271,-73.91967159119565,36779
13,Bronx,Fordham,40.86099679638654,-73.89642655981623,43394
14,Bronx,East Tremont,40.84269615786053,-73.88735617532338,43423
15,Bronx,West Farms,40.83947505672653,-73.87774474910545,4700
16,Bronx,Melrose,40.819754370594936,-73.90942160757436,24913
17,Bronx,Mott Haven,40.80623874935177,-73.91609987487575,52413
18,Bronx,Port Morris,40.801663627756206,-73.91322139386135,3523
19,Bronx,Longwood,40.81509904545822,-73.8957882009446,26196
20,Bronx,Hunts Point,40.80972987938709,-73.88331505955291,12281
21,Bronx,Morrisania,40.82359198585534,-73.90150648943059,16863
22,Bronx,Soundview,40.821012197914015,-73.86574609554924,31825
23,Bronx,Clason Point,40.80655112003589,-73.85414416189266,9136
24,Bronx,Throgs Neck,40.81510925804005,-73.81635002158441,21009
25,Bronx,Parkchester,40.837937822267286,-73.85600310535783,40358
26,Bronx,Belmont,40.85727710073895,-73.88845196134804,27378
27,Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393,10279
28,Bronx,Pelham Bay,40.85064140940335,-73.8320737824047,11931
29,Bronx,Castle Hill,40.819014376988314,-73.84802729582735,38557
30,Bronx,Olinville,40.87137078192371,-73.86332361652777,61321
31,Bronx,Pelham Gardens,40.86296562477998,-73.84161194831223,15388
32,Bronx,Unionport,40.82977429787161,-73.85053524451935,38557
33,Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813,79371
34,Brooklyn,Bensonhurst,40.61100890202044,-73.99517998380729,151705
35,Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784,126000
36,Brooklyn,Greenpoint,40.7302009848647,-73.95424093127393,34719
37,Brooklyn,Gravesend,40.59526001306593,-73.97347087708445,29436
38,Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785336,35547
39,Brooklyn,Flatbush,40.63632589026677,-73.95840106533903,105804
40,Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582,143000
41,Brooklyn,East Flatbush,40.64171776668961,-73.93610256185836,135619
42,Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172,20988
43,Brooklyn,Prospect Heights,40.676822262254724,-73.9648592426269,67645
44,Brooklyn,Brownsville,40.66394994339755,-73.91023536176607,58300
45,Brooklyn,Williamsburg,40.70714439344251,-73.95811529220927,78700
46,Brooklyn,Bushwick,40.69811611017901,-73.92525797487045,129239
47,Brooklyn,Brooklyn Heights,40.695863722724084,-73.99378225496424,20256
48,Brooklyn,Carroll Gardens,40.680540231076485,-73.99465372828006,12853
49,Brooklyn,Fort Greene,40.68852726018977,-73.97290574369092,28335
50,Brooklyn,Park Slope,40.67232052268197,-73.97705030183924,67645
51,Brooklyn,Canarsie,40.63556432797428,-73.90209269778966,83693
52,Brooklyn,Flatlands,40.630446043757466,-73.92911302644674,64762
53,Brooklyn,Mill Island,40.606336421685626,-73.90818571777423,45231
54,Brooklyn,Coney Island,40.57429256471601,-73.98868295821637,24711
55,Brooklyn,Bath Beach,40.59951870282238,-73.99875221443519,29931
56,Brooklyn,Borough Park,40.633130512758015,-73.99049823044811,106357
57,Brooklyn,Dyker Heights,40.619219457722636,-74.01931375636022,42419
58,Brooklyn,Marine Park,40.609747779894604,-73.93134404108497,45231
59,Brooklyn,Clinton Hill,40.693229421881504,-73.96784306216367,34791
60,Brooklyn,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,99287
61,Brooklyn,Bergen Beach,40.61514955045308,-73.89855633630317,45231
62,Brooklyn,Midwood,40.62559589869843,-73.95759523489838,52835
63,Brooklyn,Georgetown,40.62384524478419,-73.91607483951324,45231
64,Manhattan,Chinatown,40.71561842231432,-73.99427936255978,47844
65,Manhattan,Washington Heights,40.85190252555305,-73.93690027985234,201590
66,Manhattan,Inwood,40.86768396449915,-73.92121042203897,58946
67,Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366,47531
68,Manhattan,Manhattanville,40.8169344294978,-73.9573853935188,40568
69,Manhattan,East Harlem,40.79224946663033,-73.94418223148524,115921
70,Manhattan,Upper East Side,40.775638573301805,-73.96050763135,124231
71,Manhattan,Yorkville,40.775929849884875,-73.94711784471826,35221
72,Manhattan,Upper West Side,40.787657998534854,-73.97705923630603,214744
73,Manhattan,Clinton,40.75910089146212,-73.99611936309479,45884
74,Manhattan,Midtown,40.75469110270623,-73.98166882730304,104753
75,Manhattan,Murray Hill,40.748303077252174,-73.97833207924127,10864
76,Manhattan,Chelsea,40.744034706747975,-74.00311633472813,47325
77,Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902,22785
78,Manhattan,East Village,40.727846777270244,-73.98222616506416,63347
79,Manhattan,Lower East Side,40.71780674892765,-73.98089031999291,72957
80,Manhattan,Tribeca,40.721521967443216,-74.01068328559087,17362
81,Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332,31884
82,Manhattan,Battery Park City,40.71193198394565,-74.01686930508617,9252
83,Manhattan,Financial District,40.70710710727048,-74.0106654452127,57627
84,Queens,Woodside,40.74634908860222,-73.90184166838284,45099
85,Queens,Jackson Heights,40.75198138007367,-73.88282109164365,108152
86,Queens,Elmhurst,40.744048505122024,-73.88165622288388,88427
87,Queens,Howard Beach,40.65422527738487,-73.8381376460028,26148
88,Queens,Corona,40.74238175015667,-73.85682497345258,109695
89,Queens,Forest Hills,40.72526378216503,-73.84447500788983,83728
90,Queens,Kew Gardens,40.7051790354148,-73.82981905825703,23278
