,Borough,Neighborhood,Bed Number,ICU Bed Number,Unnamed: 0,Latitude,Longitude,Population,ICU Bed Per Hundred People,Bed Per Hundred People,COVID_CASE_RATE
0,Brooklyn,Bensonhurst,204,8,34,40.61100890202044,-73.99517998380729,151705,0.005273392439273591,0.13447150720147655,2705.41
1,Queens,Briarwood,671,24,107,40.71093547252271,-73.81174822458634,53877,0.04454591012862631,1.245429404012844,2989.74
2,Brooklyn,Brighton Beach,306,17,38,40.57682506566604,-73.96509448785335,35547,0.04782400765184122,0.860832137733142,2960.39
3,Brooklyn,Brownsville,600,28,44,40.66394994339755,-73.91023536176606,58300,0.048027444253859346,1.0291595197255574,2590.78
4,Brooklyn,Bushwick,324,16,46,40.69811611017901,-73.92525797487045,129239,0.012380163882419394,0.2506983186189927,1807.22
5,Brooklyn,Carroll Gardens,535,29,48,40.68054023107649,-73.99465372828006,12853,0.22562825799424258,4.162452345755855,1235.31
6,Manhattan,Chelsea,212,12,76,40.744034706747975,-74.00311633472813,47325,0.025356576862123614,0.4479661912308505,1782.45
7,Manhattan,Chinatown,180,13,64,40.71561842231432,-73.99427936255978,47844,0.027171641167126493,0.3762227238525207,1601.19
8,Brooklyn,Crown Heights,287,13,40,40.67082917695294,-73.94329119073582,143000,0.00909090909090909,0.2006993006993007,2365.51
9,Manhattan,East Harlem,3906,250,69,40.79224946663033,-73.94418223148523,115921,0.21566411607905384,3.369536149619137,2463.17
10,Manhattan,East Village,1296,49,78,40.727846777270244,-73.98222616506415,63347,0.07735172936366363,2.0458743113328177,957.22
11,Queens,Far Rockaway,257,8,116,40.603134432500894,-73.75497968043872,60035,0.01332556008994753,0.4280836178895644,3967.02
12,Bronx,Fordham,1029,70,13,40.86099679638654,-73.89642655981623,43394,0.16131262386505046,2.3712955708162418,2744.38
13,Queens,Forest Hills,312,28,89,40.72526378216503,-73.84447500788983,83728,0.033441620485381233,0.372635199694248,2160.08
14,Brooklyn,Fort Greene,598,31,49,40.68852726018977,-73.97290574369092,28335,0.10940532909828833,2.1104640903476266,1808.55
15,Brooklyn,Gravesend,371,22,37,40.59526001306593,-73.97347087708445,29436,0.07473841554559044,1.2603614621551842,1802.14
16,Manhattan,Inwood,196,6,66,40.86768396449915,-73.92121042203897,58946,0.010178807722322126,0.33250771892918946,1878.18
17,Queens,Jackson Heights,545,20,85,40.75198138007367,-73.88282109164366,108152,0.01849249204822842,0.5039204083142245,4301.15
18,Bronx,Melrose,1118,59,16,40.819754370594936,-73.90942160757436,24913,0.23682414803516236,4.487616906835789,3510.15
19,Bronx,Morrisania,170,0,21,40.823591985855344,-73.90150648943059,16863,0.0,1.0081242957955288,2938.72
20,Manhattan,Murray Hill,2270,221,75,40.748303077252174,-73.97833207924127,10864,2.034241531664212,20.894698085419734,1519.3
21,Bronx,Norwood,1169,80,6,40.87722415599446,-73.8793907395681,40494,0.1975601323652887,2.886847434187781,3680.15
22,Bronx,Pelham Bay,225,0,28,40.85064140940335,-73.8320737824047,11931,0.0,1.8858436007040482,3934.96
23,Bronx,Pelham Parkway,421,22,9,40.857413498088654,-73.85475564017999,30073,0.07315532204967912,1.3999268446779503,3117.71
24,Brooklyn,Prospect Lefferts Gardens,2080,197,60,40.65842001746981,-73.95489867077713,99287,0.19841469678809914,2.0949369000976965,2148.62
25,Queens,Queens Village,25,0,109,40.718893092167356,-73.73871484578423,52504,0.0,0.04761541977754076,3621.79
26,Queens,Ridgewood,348,12,95,40.708323156138576,-73.90143517559589,69317,0.01731177056133416,0.5020413462786907,2293.79
27,Queens,South Ozone Park,247,11,99,40.66854957767195,-73.80986478649041,75878,0.014496955639315743,0.3255225493555444,2527.1
28,Bronx,Spuyten Duyvil,306,20,27,40.88139497727086,-73.91719048210393,10279,0.1945714563673509,2.976943282420469,3074.88
29,Brooklyn,Sunset Park,364,24,35,40.64510294925429,-74.01031618527784,126000,0.01904761904761905,0.28888888888888886,1818.18
30,Manhattan,Upper East Side,632,15,70,40.77563857330181,-73.96050763135,124231,0.012074280976567845,0.5087297051460585,1389.91
31,Brooklyn,Williamsburg,69,0,45,40.707144393442505,-73.95811529220926,78700,0.0,0.08767471410419314,2056.22
32,Brooklyn,Windsor Terrace,839,40,42,40.65694583575104,-73.98007340430172,20988,0.1905850962454736,3.9975223937488087,958.07
33,Bronx,Woodlawn,321,16,5,40.898272612138044,-73.86731496814177,42483,0.037662123672998614,0.7555963561895347,3403.35
34,Manhattan,Yorkville,1438,103,71,40.77592984988488,-73.94711784471826,35221,0.2924391698134636,4.0827915164248605,1053.81
